Word,Type,Letters,Syllables,K&F,ANEW,,Personal Use,,Familiarity,,Offensiveness,,Tabooness,,Valence,,Arousal,,Imageability,
,,,,Freq.,Valence,Arousal,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD,Mean,SD
moron,taboo,5,2,,,,"3,33","2,07","5,09","2,40","3,13","2,06","3,80","2,11","2,96","1,48","2,96","1,80","2,58","2,26"
murderer,neg hi ar,8,3,19,"1,42","7,42","3,75","2,63","5,73","2,55","3,14","2,72","3,70","2,95","1,77","1,16","5,16","2,44","4,52","2,66"
defecate,taboo,8,3,,,,"2,02","1,67","3,00","2,03","2,24","1,61","3,64","2,31","3,53","1,29","3,24","2,46","3,80","2,92"
breasts,taboo,7,2,,,,"4,58","2,24","5,93","2,21","1,49","0,99","3,60","1,86","5,20","0,73","4,02","2,53","7,53","1,91"
balls,taboo,5,1,,,,"4,48","2,31","5,91","2,42","1,66","1,24","3,57","2,35","4,73","0,82","2,89","1,87","6,95","2,50"
spic,taboo,4,1,,,,"1,24","0,74","2,00","1,55","2,62","2,70","3,57","3,39","3,78","1,57","3,18","2,95","2,13","2,00"
jugs,taboo,4,1,,,,"2,22","2,24","3,73","2,46","2,62","2,09","3,56","2,43","4,22","1,11","3,24","2,42","5,73","2,79"
gook,taboo,4,1,,,,"1,30","0,91","2,28","1,91","2,81","2,70","3,53","3,17","3,51","1,53","3,40","2,57","2,53","2,38"
jerk,taboo,4,1,,,,"5,62","2,40","6,33","2,15","2,51","1,60","3,51","2,10","2,98","1,16","3,60","1,81","3,09","2,28"
loser,taboo,5,2,1,"1,95","5,05","5,71","2,28","6,36","2,18","3,58","2,25","3,47","2,33","2,62","1,17","3,56","2,31","3,64","2,46"
dumb,taboo,4,1,,,,"6,16","2,12","6,73","2,01","3,11","2,29","3,42","2,20","3,00","1,13","2,84","2,05","2,40","1,94"
idiot,taboo,5,3,2,"3,00","3,83","5,24","2,45","6,22","2,27","2,53","1,83","3,42","2,26","2,91","1,13","2,53","1,65","2,80","2,27"
nude,pos hi ar,4,1,20,"5,88","5,73","3,84","2,47","5,36","2,52","1,51","1,20","3,40","2,39","4,44","1,01","4,47","2,32","6,96","2,18"
suck,taboo,4,1,,,,"6,07","2,44","6,78","2,24","2,16","1,72","3,38","2,30","3,40","1,18","3,69","2,26","3,11","2,61"
ugly,neg lo ar,4,2,21,"2,39","5,57","5,80","2,22","6,82","1,96","3,51","2,57","3,38","2,33","2,47","1,22","3,31","2,61","4,60","2,78"
booty,taboo,5,2,,,,"4,42","2,30","5,91","2,31","1,60","1,30","3,36","1,94","4,80","0,76","3,50","2,25","6,16","2,35"
screw,taboo,5,1,,,,"4,89","2,40","5,47","2,18","1,73","1,25","3,29","2,35","4,18","0,98","3,07","2,20","4,98","2,97"
coitus,taboo,6,2,,,,"1,43","1,02","1,86","1,18","1,45","0,83","3,26","2,68","4,26","1,48","3,00","2,60","2,38","2,36"
pecker,taboo,6,2,,,,"1,61","1,40","2,55","1,76","1,93","1,91","3,23","2,48","3,86","1,21","3,07","2,47","3,27","2,42"
jism,taboo,4,2,,,,"1,12","0,40","1,73","1,60","2,12","1,94","3,20","2,78","4,28","1,32","3,25","2,65","2,18","2,17"
sinful,neg hi ar,6,2,3,"2,88","6,27","3,31","2,43","4,27","2,54","1,98","1,84","3,16","2,54","2,36","1,19","3,82","2,31","2,24","1,85"
stupid,taboo,6,2,24,"2,10","4,97","6,62","2,24","7,44","1,74","2,84","2,33","3,13","1,95","3,02","1,08","2,84","1,91","2,22","1,82"
gun,neg hi ar,3,1,118,"2,27","6,96","4,02","2,49","6,00","2,48","1,84","1,57","3,11","2,27","2,96","1,30","4,18","2,72","8,33","1,31"
lust,pos hi ar,4,1,5,"6,92","6,85","4,31","2,41","5,40","2,34","1,67","1,40","3,02","2,17","4,51","1,56","4,16","2,24","2,67","2,10"
